Day,Remaining Pool (Qube),Daily Ticket Sales,Daily Rewards Paid Out (Qube),Exhausted Pool
1,15987541.42857143,102000.0,16380.0,False
2,15975148.028571429,104040.0,16380.0,False
3,15962820.703428572,106120.8,16380.0,False
4,15950560.374640001,108243.216,16380.0,False
5,15938367.982132802,110408.08032000001,16380.0,False
6,15926244.4846326,112616.2419264,16380.0,False
7,15914190.860039538,114868.56676492801,16380.0,False
8,15902218.105811758,117165.93810022657,16380.0,False
9,15890317.239356564,119509.25686223111,16380.0,False
10,15878489.298429409,121899.44199947573,16380.0,False
11,15866745.341540854,124337.43083946525,16380.0,False
12,15855076.448371671,126824.17945625455,16380.0,False
13,15843493.720196247,129360.66304537965,16380.0,False
14,15831988.280314459,131947.87630628725,16380.0,False
15,15820571.274492176,134586.833832413,16380.0,False
16,15809243.871410592,137278.57050906125,16380.0,False
17,15798007.263124518,140024.14191924248,16380.0,False
18,15786852.665529866,142824.62475762735,16380.0,False
19,15775791.318840463,145681.1172527799,16380.0,False
20,15764824.488074414,148594.7395978355,16380.0,False
21,15753953.463550188,151566.6343897922,16380.0,False
22,15743179.56139262,154597.96707758805,16380.0,False
23,15732504.124049043,157689.9264191398,16380.0,False
24,15721928.520815738,160843.7249475226,16380.0,False
25,15711464.14837491,164060.59944647306,16380.0,False
26,15701102.431342408,167341.81143540252,16380.0,False
27,15690844.822826399,170688.64766411058,16380.0,False
28,15680702.804997211,174102.4206173928,16380.0,False
29,15670667.889668584,177584.46902974066,16380.0,False
30,15760751.618890528,181136.15841033548,16380.0,False
31,15750945.565554053,184758.8815785422,16380.0,False
32,15741261.334007991,188454.05921011305,16380.0,False
33,15731700.560688151,192223.1403943153,16380.0,False
34,15722264.914759057,196067.6032022016,16380.0,False
35,15712946.098768523,199988.95526624564,16380.0,False
36,15703755.849315323,203988.73437157055,16380.0,False
37,15694705.9377302,208068.50905900195,16380.0,False
38,15685788.170770518,212229.879240182,16380.0,False
39,15677004.391328786,216474.47682498564,16380.0,False
40,15668356.479155362,220803.96636148536,16380.0,False
41,15659856.351595612,225220.04568871506,16380.0,False
42,15651495.96434181,229724.44660248936,16380.0,False
43,15643287.312200075,234318.93553453917,16380.0,False
44,15635232.429872649,239005.31424522997,16380.0,False
45,15627323.392755816,243785.42053013458,16380.0,False
46,15619572.31775379,248661.12894073728,16380.0,False
47,15611981.364108866,253634.35151955203,16380.0,False
48,15604552.734248186,258707.03854994307,16380.0,False
49,15597288.674647436,263881.1793209419,16380.0,False
50,15590201.476711813,269158.8029073608,16380.0,False
51,15583283.47767462,274541.978965508,16380.0,False
52,15576547.061513826,280032.81854481815,16380.0,False
53,15569984.65988696,285633.4749157145,16380.0,False
54,15563608.753084699,291346.14441402885,16380.0,False
55,15557421.871003535,297173.06730230944,16380.0,False
56,15551426.59413789,303116.5286483556,16380.0,False
57,15545625.554592077,309178.85922132275,16380.0,False
58,15540021.43711249,315362.43640574923,16380.0,False
59,15534616.980140453,321669.68513386423,16380.0,False
60,15629424.97688612,328103.0788365415,16380.0,False
61,15624438.276423842,334665.14041327237,16380.0,False
62,15619669.78480946,341358.4432215378,16380.0,False
63,15615122.466219936,348185.61208596855,16380.0,False
64,15610799.344115762,355149.3243276879,16380.0,False
65,15606703.502426649,362252.31081424165,16380.0,False
66,15602838.086760895,369497.3570305265,16380.0,False
67,15599206.30563897,376887.30417113705,16380.0,False
68,15595821.43175175,384425.0502545598,16380.0,False
69,15592686.803243928,392113.55125965097,16380.0,False
70,15589795.825023092,399955.822284844,16380.0,False
71,15587161.970094983,407954.9387305409,16380.0,False
72,15584798.780925455,416114.03750515176,16380.0,False
73,15582699.870829677,424436.3182552548,16380.0,False
74,15580868.925389128,432925.04462035996,16380.0,False
75,15579319.70389691,441583.54551276716,16380.0,False
76,15578056.04083199,450415.2164230225,16380.0,False
77,15577081.847362917,459423.520751483,16380.0,False
78,15576401.112881605,468611.99116651266,16380.0,False
79,15576017.906567808,477984.2309898429,16380.0,False
80,15575946.37898488,487543.9156096398,16380.0,False
81,15576190.763707435,497294.7939218326,16380.0,False
82,15576755.378981583,507240.68980026926,16380.0,False
83,15577644.629418358,517385.50359627465,16380.0,False
84,15578863.00772101,527733.2136682002,16380.0,False
85,15580425.096446859,538287.8779415642,16380.0,False
86,15582335.569804367,549053.6355003954,16380.0,False
87,15584599.19548617,560034.7082104033,16380.0,False
88,15587220.83653875,571235.4023746114,16380.0,False
89,15590205.453269526,582660.1104221035,16380.0,False
90,15693568.10519206,594313.3126305456,16380.0,False
91,15697313.953010187,606199.5788831565,16380.0,False
92,15701448.260641819,618323.5704608196,16380.0,False
93,15705976.397283226,630690.041870036,16380.0,False
94,15710913.839514606,643303.8427074368,16380.0,False
95,15716266.173447754,656169.9195615855,16380.0,False
96,15722039.09691671,669293.3179528173,16380.0,False
97,15728238.421712186,682679.1843118736,16380.0,False
98,15734880.075860716,696332.7679981111,16380.0,False
99,15741970.105949359,710259.4233580733,16380.0,False
100,15749514.679496918,724464.6118252348,16380.0,False
101,15757520.087372571,738953.9040617396,16380.0,False
102,15766002.74626288,753732.9821429744,16380.0,False
103,15774969.201188138,768807.6417858339,16380.0,False
104,15784436.128069043,784183.7946215506,16380.0,False
105,15794400.33634471,799867.4705139817,16380.0,False
106,15804878.771643033,815864.8199242613,16380.0,False
107,15815888.518504465,832182.1163227465,16380.0,False
108,15827426.803160269,848825.7586492015,16380.0,False
109,15839510.996366331,865802.2738221856,16380.0,False
110,15852158.616293658,883118.3192986293,16380.0,False
111,15865367.331476673,900780.6856846019,16380.0,False
112,15879154.963820493,918796.299398294,16380.0,False
113,15893539.491668332,937172.2253862598,16380.0,False
114,15908519.052930271,955915.669893985,16380.0,False
115,15924121.948274592,975033.9832918647,16380.0,False
116,15940346.64438294,994534.6629577021,16380.0,False
117,15957211.7772706,1014425.3562168562,16380.0,False
118,15974076.91015826,1014425.3562168562,16380.0,False
119,15990942.04304592,1014425.3562168562,16380.0,False
120,16107807.175933579,1014425.3562168562,16380.0,False
121,16124672.308821239,1014425.3562168562,16380.0,False
122,16141537.441708898,1014425.3562168562,16380.0,False
123,16158402.574596558,1014425.3562168562,16380.0,False
124,16175267.707484217,1014425.3562168562,16380.0,False
125,16192132.840371877,1014425.3562168562,16380.0,False
126,16208997.973259537,1014425.3562168562,16380.0,False
127,16225863.106147196,1014425.3562168562,16380.0,False
128,16242728.239034856,1014425.3562168562,16380.0,False
129,16259593.371922515,1014425.3562168562,16380.0,False
130,16276458.504810175,1014425.3562168562,16380.0,False
131,16293323.637697835,1014425.3562168562,16380.0,False
132,16310188.770585494,1014425.3562168562,16380.0,False
133,16327053.903473154,1014425.3562168562,16380.0,False
134,16343919.036360813,1014425.3562168562,16380.0,False
135,16360784.169248473,1014425.3562168562,16380.0,False
136,16377649.302136132,1014425.3562168562,16380.0,False
137,16394514.435023792,1014425.3562168562,16380.0,False
138,16411379.567911452,1014425.3562168562,16380.0,False
139,16428244.700799111,1014425.3562168562,16380.0,False
140,16445109.83368677,1014425.3562168562,16380.0,False
141,16461974.96657443,1014425.3562168562,16380.0,False
142,16478840.09946209,1014425.3562168562,16380.0,False
143,16495705.23234975,1014425.3562168562,16380.0,False
144,16512570.36523741,1014425.3562168562,16380.0,False
145,16529435.498125069,1014425.3562168562,16380.0,False
146,16546300.631012728,1014425.3562168562,16380.0,False
147,16563165.763900388,1014425.3562168562,16380.0,False
148,16580030.896788048,1014425.3562168562,16380.0,False
149,16596896.029675707,1014425.3562168562,16380.0,False
150,16713761.162563367,1014425.3562168562,16380.0,False
151,16730626.295451026,1014425.3562168562,16380.0,False
152,16747491.428338686,1014425.3562168562,16380.0,False
153,16764356.561226346,1014425.3562168562,16380.0,False
154,16781221.694114003,1014425.3562168562,16380.0,False
155,16798086.82700166,1014425.3562168562,16380.0,False
156,16814951.95988932,1014425.3562168562,16380.0,False
157,16831817.092776977,1014425.3562168562,16380.0,False
158,16848682.225664634,1014425.3562168562,16380.0,False
159,16865547.358552292,1014425.3562168562,16380.0,False
160,16882412.49143995,1014425.3562168562,16380.0,False
161,16899277.624327607,1014425.3562168562,16380.0,False
162,16916142.757215265,1014425.3562168562,16380.0,False
163,16933007.890102923,1014425.3562168562,16380.0,False
164,16949873.02299058,1014425.3562168562,16380.0,False
165,16966738.15587824,1014425.3562168562,16380.0,False
166,16983603.288765896,1014425.3562168562,16380.0,False
167,17000468.421653554,1014425.3562168562,16380.0,False
168,17017333.55454121,1014425.3562168562,16380.0,False
169,17034198.68742887,1014425.3562168562,16380.0,False
170,17051063.820316527,1014425.3562168562,16380.0,False
171,17067928.953204185,1014425.3562168562,16380.0,False
172,17084794.086091843,1014425.3562168562,16380.0,False
173,17101659.2189795,1014425.3562168562,16380.0,False
174,17118524.351867158,1014425.3562168562,16380.0,False
175,17135389.484754816,1014425.3562168562,16380.0,False
176,17152254.617642473,1014425.3562168562,16380.0,False
177,17169119.75053013,1014425.3562168562,16380.0,False
178,17185984.88341779,1014425.3562168562,16380.0,False
179,17202850.016305447,1014425.3562168562,16380.0,False
180,17319715.149193104,1014425.3562168562,16380.0,False
181,17336580.282080762,1014425.3562168562,16380.0,False
182,17353445.41496842,1014425.3562168562,16380.0,False
183,17370310.547856078,1014425.3562168562,16380.0,False
184,17387175.680743735,1014425.3562168562,16380.0,False
185,17404040.813631393,1014425.3562168562,16380.0,False
186,17420905.94651905,1014425.3562168562,16380.0,False
187,17437771.07940671,1014425.3562168562,16380.0,False
188,17454636.212294366,1014425.3562168562,16380.0,False
189,17471501.345182024,1014425.3562168562,16380.0,False
190,17488366.47806968,1014425.3562168562,16380.0,False
191,17505231.61095734,1014425.3562168562,16380.0,False
192,17522096.743844997,1014425.3562168562,16380.0,False
