Day,Remaining Pool (Qube),Daily Ticket Sales,Daily Rewards Paid Out (Qube),Exhausted Pool
1,15989881.42857143,102000.0,14040.0,False
2,15979828.028571429,104040.0,14040.0,False
3,15969840.703428572,106120.8,14040.0,False
4,15959920.374640001,108243.216,14040.0,False
5,15950067.982132802,110408.08032000001,14040.0,False
6,15940284.4846326,112616.2419264,14040.0,False
7,15930570.860039538,114868.56676492801,14040.0,False
8,15920938.105811758,117165.93810022657,14040.0,False
9,15911377.239356564,119509.25686223111,14040.0,False
10,15901889.298429409,121899.44199947573,14040.0,False
11,15892485.341540854,124337.43083946525,14040.0,False
12,15883156.448371671,126824.17945625455,14040.0,False
13,15873913.720196247,129360.66304537965,14040.0,False
14,15864748.280314459,131947.87630628725,14040.0,False
15,15855671.274492176,134586.833832413,14040.0,False
16,15846683.871410592,137278.57050906125,14040.0,False
17,15837787.263124518,140024.14191924248,14040.0,False
18,15828972.665529866,142824.62475762735,14040.0,False
19,15820251.318840463,145681.1172527799,14040.0,False
20,15811624.488074414,148594.7395978355,14040.0,False
21,15803093.463550188,151566.6343897922,14040.0,False
22,15794659.56139262,154597.96707758805,14040.0,False
23,15786324.124049043,157689.9264191398,14040.0,False
24,15778088.520815738,160843.7249475226,14040.0,False
25,15769964.14837491,164060.59944647306,14040.0,False
26,15761942.431342408,167341.81143540252,14040.0,False
27,15754024.822826399,170688.64766411058,14040.0,False
28,15746222.804997211,174102.4206173928,14040.0,False
29,15738527.889668584,177584.46902974066,14040.0,False
30,15830951.618890528,181136.15841033548,14040.0,False
31,15823485.565554053,184758.8815785422,14040.0,False
32,15816141.334007991,188454.05921011305,14040.0,False
33,15808920.560688151,192223.1403943153,14040.0,False
34,15801824.914759057,196067.6032022016,14040.0,False
35,15794846.098768523,199988.95526624564,14040.0,False
36,15787995.849315323,203988.73437157055,14040.0,False
37,15781285.9377302,208068.50905900195,14040.0,False
38,15774708.170770518,212229.879240182,14040.0,False
39,15768264.391328786,216474.47682498564,14040.0,False
40,15761956.479155362,220803.96636148536,14040.0,False
41,15755796.351595612,225220.04568871506,14040.0,False
42,15749775.96434181,229724.44660248936,14040.0,False
43,15743907.312200075,234318.93553453917,14040.0,False
44,15738192.429872649,239005.31424522997,14040.0,False
45,15732623.392755816,243785.42053013458,14040.0,False
46,15727212.31775379,248661.12894073728,14040.0,False
47,15721961.364108866,253634.35151955203,14040.0,False
48,15716872.734248186,258707.03854994307,14040.0,False
49,15711948.674647436,263881.1793209419,14040.0,False
50,15707201.476711813,269158.8029073608,14040.0,False
51,15702623.47767462,274541.978965508,14040.0,False
52,15698227.061513826,280032.81854481815,14040.0,False
53,15694004.65988696,285633.4749157145,14040.0,False
54,15689968.753084699,291346.14441402885,14040.0,False
55,15686121.871003535,297173.06730230944,14040.0,False
56,15682466.59413789,303116.5286483556,14040.0,False
57,15679005.554592077,309178.85922132275,14040.0,False
58,15675741.43711249,315362.43640574923,14040.0,False
59,15672676.980140453,321669.68513386423,14040.0,False
60,15769824.97688612,328103.0788365415,14040.0,False
61,15767178.276423842,334665.14041327237,14040.0,False
62,15764749.78480946,341358.4432215378,14040.0,False
63,15762542.466219936,348185.61208596855,14040.0,False
64,15760559.344115762,355149.3243276879,14040.0,False
65,15758803.502426649,362252.31081424165,14040.0,False
66,15757278.086760895,369497.3570305265,14040.0,False
67,15755986.30563897,376887.30417113705,14040.0,False
68,15754941.43175175,384425.0502545598,14040.0,False
69,15754146.803243928,392113.55125965097,14040.0,False
70,15753595.825023092,399955.822284844,14040.0,False
71,15753301.970094983,407954.9387305409,14040.0,False
72,15753278.780925455,416114.03750515176,14040.0,False
73,15753519.870829677,424436.3182552548,14040.0,False
74,15754028.925389128,432925.04462035996,14040.0,False
75,15754819.70389691,441583.54551276716,14040.0,False
76,15755896.04083199,450415.2164230225,14040.0,False
77,15757261.847362917,459423.520751483,14040.0,False
78,15758921.112881605,468611.99116651266,14040.0,False
79,15760877.906567808,477984.2309898429,14040.0,False
80,15763146.37898488,487543.9156096398,14040.0,False
81,15765730.763707435,497294.7939218326,14040.0,False
82,15768635.378981583,507240.68980026926,14040.0,False
83,15771864.629418358,517385.50359627465,14040.0,False
84,15775423.00772101,527733.2136682002,14040.0,False
85,15779325.096446859,538287.8779415642,14040.0,False
86,15783575.569804367,549053.6355003954,14040.0,False
87,15788179.19548617,560034.7082104033,14040.0,False
88,15793140.83653875,571235.4023746114,14040.0,False
89,15798465.453269526,582660.1104221035,14040.0,False
90,15904168.10519206,594313.3126305456,14040.0,False
91,15910253.953010187,606199.5788831565,14040.0,False
92,15916728.260641819,618323.5704608196,14040.0,False
93,15923596.397283226,630690.041870036,14040.0,False
94,15930873.839514606,643303.8427074368,14040.0,False
95,15938566.173447754,656169.9195615855,14040.0,False
96,15946679.09691671,669293.3179528173,14040.0,False
97,15955218.421712186,682679.1843118736,14040.0,False
98,15964200.075860716,696332.7679981111,14040.0,False
99,15973630.105949359,710259.4233580733,14040.0,False
100,15983514.679496918,724464.6118252348,14040.0,False
101,15993860.087372571,738953.9040617396,14040.0,False
102,16004682.74626288,753732.9821429744,14040.0,False
103,16015989.201188138,768807.6417858339,14040.0,False
104,16027796.128069043,784183.7946215506,14040.0,False
105,16040100.33634471,799867.4705139817,14040.0,False
106,16052918.771643033,815864.8199242613,14040.0,False
107,16066268.518504465,832182.1163227465,14040.0,False
108,16080146.803160269,848825.7586492015,14040.0,False
109,16094570.996366331,865802.2738221856,14040.0,False
110,16109558.616293658,883118.3192986293,14040.0,False
111,16125107.331476673,900780.6856846019,14040.0,False
112,16141234.963820493,918796.299398294,14040.0,False
113,16157959.491668332,937172.2253862598,14040.0,False
114,16175279.052930271,955915.669893985,14040.0,False
115,16193221.948274592,975033.9832918647,14040.0,False
116,16211786.64438294,994534.6629577021,14040.0,False
117,16230991.7772706,1014425.3562168562,14040.0,False
118,16250196.91015826,1014425.3562168562,14040.0,False
119,16269402.04304592,1014425.3562168562,14040.0,False
120,16388607.175933579,1014425.3562168562,14040.0,False
121,16407812.308821239,1014425.3562168562,14040.0,False
122,16427017.441708898,1014425.3562168562,14040.0,False
123,16446222.574596558,1014425.3562168562,14040.0,False
124,16465427.707484217,1014425.3562168562,14040.0,False
125,16484632.840371877,1014425.3562168562,14040.0,False
126,16503837.973259537,1014425.3562168562,14040.0,False
127,16523043.106147196,1014425.3562168562,14040.0,False
128,16542248.239034856,1014425.3562168562,14040.0,False
129,16561453.371922515,1014425.3562168562,14040.0,False
130,16580658.504810175,1014425.3562168562,14040.0,False
131,16599863.637697835,1014425.3562168562,14040.0,False
132,16619068.770585494,1014425.3562168562,14040.0,False
133,16638273.903473154,1014425.3562168562,14040.0,False
134,16657479.036360813,1014425.3562168562,14040.0,False
135,16676684.169248473,1014425.3562168562,14040.0,False
136,16695889.302136132,1014425.3562168562,14040.0,False
137,16715094.435023792,1014425.3562168562,14040.0,False
138,16734299.567911452,1014425.3562168562,14040.0,False
139,16753504.700799111,1014425.3562168562,14040.0,False
140,16772709.833686769,1014425.3562168562,14040.0,False
141,16791914.966574427,1014425.3562168562,14040.0,False
142,16811120.099462084,1014425.3562168562,14040.0,False
143,16830325.232349742,1014425.3562168562,14040.0,False
144,16849530.3652374,1014425.3562168562,14040.0,False
145,16868735.498125058,1014425.3562168562,14040.0,False
146,16887940.631012715,1014425.3562168562,14040.0,False
147,16907145.763900373,1014425.3562168562,14040.0,False
148,16926350.89678803,1014425.3562168562,14040.0,False
149,16945556.02967569,1014425.3562168562,14040.0,False
150,17064761.162563346,1014425.3562168562,14040.0,False
151,17083966.295451004,1014425.3562168562,14040.0,False
152,17103171.42833866,1014425.3562168562,14040.0,False
153,17122376.56122632,1014425.3562168562,14040.0,False
154,17141581.694113977,1014425.3562168562,14040.0,False
155,17160786.827001635,1014425.3562168562,14040.0,False
156,17179991.959889293,1014425.3562168562,14040.0,False
157,17199197.09277695,1014425.3562168562,14040.0,False
158,17218402.22566461,1014425.3562168562,14040.0,False
159,17237607.358552266,1014425.3562168562,14040.0,False
160,17256812.491439924,1014425.3562168562,14040.0,False
161,17276017.62432758,1014425.3562168562,14040.0,False
162,17295222.75721524,1014425.3562168562,14040.0,False
163,17314427.890102897,1014425.3562168562,14040.0,False
164,17333633.022990555,1014425.3562168562,14040.0,False
165,17352838.155878212,1014425.3562168562,14040.0,False
166,17372043.28876587,1014425.3562168562,14040.0,False
167,17391248.421653528,1014425.3562168562,14040.0,False
168,17410453.554541185,1014425.3562168562,14040.0,False
169,17429658.687428843,1014425.3562168562,14040.0,False
170,17448863.8203165,1014425.3562168562,14040.0,False
171,17468068.95320416,1014425.3562168562,14040.0,False
172,17487274.086091816,1014425.3562168562,14040.0,False
173,17506479.218979474,1014425.3562168562,14040.0,False
174,17525684.351867132,1014425.3562168562,14040.0,False
175,17544889.48475479,1014425.3562168562,14040.0,False
176,17564094.617642447,1014425.3562168562,14040.0,False
177,17583299.750530105,1014425.3562168562,14040.0,False
178,17602504.883417763,1014425.3562168562,14040.0,False
179,17621710.01630542,1014425.3562168562,14040.0,False
180,17740915.14919308,1014425.3562168562,14040.0,False
181,17760120.282080736,1014425.3562168562,14040.0,False
182,17779325.414968394,1014425.3562168562,14040.0,False
183,17798530.54785605,1014425.3562168562,14040.0,False
184,17817735.68074371,1014425.3562168562,14040.0,False
185,17836940.813631367,1014425.3562168562,14040.0,False
186,17856145.946519025,1014425.3562168562,14040.0,False
187,17875351.079406682,1014425.3562168562,14040.0,False
188,17894556.21229434,1014425.3562168562,14040.0,False
189,17913761.345181998,1014425.3562168562,14040.0,False
190,17932966.478069656,1014425.3562168562,14040.0,False
191,17952171.610957313,1014425.3562168562,14040.0,False
192,17971376.74384497,1014425.3562168562,14040.0,False
193,17990581.87673263,1014425.3562168562,14040.0,False
194,18009787.009620287,1014425.3562168562,14040.0,False
195,18028992.142507944,1014425.3562168562,14040.0,False
196,18048197.275395602,1014425.3562168562,14040.0,False
197,18067402.40828326,1014425.3562168562,14040.0,False
198,18086607.541170917,1014425.3562168562,14040.0,False
199,18105812.674058575,1014425.3562168562,14040.0,False
200,18125017.806946233,1014425.3562168562,14040.0,False
201,18144222.93983389,1014425.3562168562,14040.0,False
202,18163428.07272155,1014425.3562168562,14040.0,False
203,18182633.205609206,1014425.3562168562,14040.0,False
204,18201838.338496864,1014425.3562168562,14040.0,False
205,18221043.47138452,1014425.3562168562,14040.0,False
206,18240248.60427218,1014425.3562168562,14040.0,False
207,18259453.737159837,1014425.3562168562,14040.0,False
208,18278658.870047495,1014425.3562168562,14040.0,False
209,18297864.002935153,1014425.3562168562,14040.0,False
210,18417069.13582281,1014425.3562168562,14040.0,False
211,18436274.268710468,1014425.3562168562,14040.0,False
212,18455479.401598126,1014425.3562168562,14040.0,False
213,18474684.534485783,1014425.3562168562,14040.0,False
214,18493889.66737344,1014425.3562168562,14040.0,False
215,18513094.8002611,1014425.3562168562,14040.0,False
216,18532299.933148757,1014425.3562168562,14040.0,False
217,18551505.066036414,1014425.3562168562,14040.0,False
218,18570710.198924072,1014425.3562168562,14040.0,False
219,18589915.33181173,1014425.3562168562,14040.0,False
220,18609120.464699388,1014425.3562168562,14040.0,False
221,18628325.597587045,1014425.3562168562,14040.0,False
222,18647530.730474703,1014425.3562168562,14040.0,False
223,18666735.86336236,1014425.3562168562,14040.0,False
224,18685940.99625002,1014425.3562168562,14040.0,False
225,18705146.129137676,1014425.3562168562,14040.0,False
226,18724351.262025334,1014425.3562168562,14040.0,False
227,18743556.39491299,1014425.3562168562,14040.0,False
228,18762761.52780065,1014425.3562168562,14040.0,False
229,18781966.660688307,1014425.3562168562,14040.0,False
230,18801171.793575965,1014425.3562168562,14040.0,False
231,18820376.926463623,1014425.3562168562,14040.0,False
232,18839582.05935128,1014425.3562168562,14040.0,False
233,18858787.192238938,1014425.3562168562,14040.0,False
234,18877992.325126596,1014425.3562168562,14040.0,False
235,18897197.458014254,1014425.3562168562,14040.0,False
236,18916402.59090191,1014425.3562168562,14040.0,False
237,18935607.72378957,1014425.3562168562,14040.0,False
238,18954812.856677227,1014425.3562168562,14040.0,False
239,18974017.989564884,1014425.3562168562,14040.0,False
240,19093223.122452542,1014425.3562168562,14040.0,False
241,19112428.2553402,1014425.3562168562,14040.0,False
242,19131633.388227858,1014425.3562168562,14040.0,False
243,19150838.521115515,1014425.3562168562,14040.0,False
244,19170043.654003173,1014425.3562168562,14040.0,False
245,19189248.78689083,1014425.3562168562,14040.0,False
