Day,Remaining Pool (Qube),Daily Ticket Sales,Daily Rewards Paid Out (Qube),Exhausted Pool
1,15984588.714285715,10200.0,16380.0,False
2,15969181.945714286,10404.0,16380.0,False
3,15953779.784628572,10612.08,16380.0,False
4,15938382.323178286,10824.3216,16380.0,False
5,15922999.655356137,11040.808031999999,16380.0,False
6,15907621.877034688,11261.62419264,16380.0,False
7,15892249.086003954,11486.8566764928,16380.0,False
8,15876881.382009747,11716.593810022656,16380.0,False
9,15861518.866792798,11950.925686223109,16380.0,False
10,15846171.644128654,12189.944199947571,16380.0,False
11,15830829.81986837,12433.743083946523,16380.0,False
12,15815493.501980023,12682.417945625453,16380.0,False
13,15800162.800591053,12936.066304537962,16380.0,False
14,15784847.828031447,13194.787630628722,16380.0,False
15,15769538.69887779,13458.683383241296,16380.0,False
16,15754235.529998202,13727.857050906123,16380.0,False
17,15738948.440598166,14002.414191924245,16380.0,False
18,15723667.552267272,14282.46247576273,16380.0,False
19,15708392.989026904,14568.111725277984,16380.0,False
20,15693124.877378872,14859.473959783543,16380.0,False
21,15677873.346355021,15156.663438979214,16380.0,False
22,15662628.527567836,15459.796707758798,16380.0,False
23,15647390.55526205,15768.992641913974,16380.0,False
24,15632169.56636729,16084.372494752253,16380.0,False
25,15616955.70055178,16406.0599446473,16380.0,False
26,15601749.100277102,16734.181143540245,16380.0,False
27,15586559.910854071,17068.86476641105,16380.0,False
28,15571378.280499725,17410.24206173927,16380.0,False
29,15556204.360395433,17758.446902974058,16380.0,False
30,15641048.3047462,18113.615841033537,16380.0,False
31,15625900.270841124,18475.88815785421,16380.0,False
32,15610760.419115089,18845.405921011294,16380.0,False
33,15595638.913211677,19222.31403943152,16380.0,False
34,15580525.920047339,19606.76032022015,16380.0,False
35,15565421.609876858,19998.895526624554,16380.0,False
36,15550336.15636011,20398.873437157046,16380.0,False
37,15535259.73663017,20806.850905900188,16380.0,False
38,15520202.531362774,21222.98792401819,16380.0,False
39,15505154.724847171,21647.447682498554,16380.0,False
40,15490126.5050584,22080.396636148525,16380.0,False
41,15475108.063730996,22522.004568871496,16380.0,False
42,15460099.596434187,22972.444660248926,16380.0,False
43,15445111.302648585,23431.893553453905,16380.0,False
44,15430133.385844413,23900.531424522982,16380.0,False
45,15415176.053561302,24378.542053013443,16380.0,False
46,15400229.51748967,24866.112894073714,16380.0,False
47,15385303.993553748,25363.43515195519,16380.0,False
48,15370389.701996252,25870.70385499429,16380.0,False
49,15355496.86746475,26388.117932094177,16380.0,False
50,15340615.719099758,26915.880290736062,16380.0,False
51,15325756.49062461,27454.197896550784,16380.0,False
52,15310919.420437103,28003.2818544818,16380.0,False
53,15296094.751702989,28563.347491571436,16380.0,False
54,15281292.732451335,29134.614441402864,16380.0,False
55,15266503.61567179,29717.30673023092,16380.0,False
56,15251737.659413796,30311.65286483554,16380.0,False
57,15236985.126887785,30917.885922132253,16380.0,False
58,15222256.286568398,31536.2436405749,16380.0,False
59,15207551.412299765,32166.968513386397,16380.0,False
60,15292860.783402903,32810.307883654124,16380.0,False
61,15278194.684785247,33466.51404132721,16380.0,False
62,15263553.407052381,34135.84432215375,16380.0,False
63,15248927.246622,34818.56120859683,16380.0,False
64,15234326.505840154,35514.93243276877,16380.0,False
65,15219751.493099814,36225.23108142415,16380.0,False
66,15205192.52296181,36949.73570305263,16380.0,False
67,15190659.916278189,37688.730417113686,16380.0,False
68,15176154.00031804,38442.50502545596,16380.0,False
69,15161675.108895829,39211.35512596508,16380.0,False
70,15147213.582502317,39995.58222848438,16380.0,False
71,15132779.768438077,40795.49387305407,16380.0,False
72,15118374.020949695,41611.40375051515,16380.0,False
73,15103996.70136869,42443.63182552545,16380.0,False
74,15089648.178253205,43292.50446203596,16380.0,False
75,15075328.827532556,44158.35455127668,16380.0,False
76,15061039.032654636,45041.521642302214,16380.0,False
77,15046769.1847363,45942.35207514826,16380.0,False
78,15032529.68271674,46861.19911665122,16380.0,False
79,15018320.933513932,47798.42309898425,16380.0,False
80,15004143.35218421,48754.39156096393,16380.0,False
81,14989997.362085037,49729.47939218321,16380.0,False
82,14982903.395041022,50724.068980026874,9360.000000000002,False
83,14975841.891513271,51738.550359627414,9360.000000000002,False
84,14968813.300772108,52773.32136681996,9360.000000000002,False
85,14961818.081073264,53828.787794156364,9360.000000000002,False
86,14954856.699837586,54905.36355003949,9360.000000000002,False
87,14947939.633834338,56003.47082104028,9360.000000000002,False
88,14941057.369368168,57123.540237461086,9360.000000000002,False
89,14934210.402469816,58266.01104221031,9360.000000000002,False
90,15020379.23909064,59431.33126305452,16380.0,False
91,15006584.395301023,60619.957888315614,16380.0,False
92,14992826.397492759,61832.357046081925,16380.0,False
93,14986135.782585472,63069.004187003564,9360.000000000002,False
94,14979483.098237181,64330.384270743634,9360.000000000002,False
95,14972868.903059067,65616.99195615851,9360.000000000002,False
96,14966293.766834535,66929.33179528169,9360.000000000002,False
97,14959768.270742653,68267.91843118733,9360.000000000002,False
98,14953283.007586077,69633.27679981108,9360.000000000002,False
99,14946848.582023513,71025.9423358073,9360.000000000002,False
100,14940455.61080684,72446.46118252345,9360.000000000002,False
101,14934104.723022977,73895.39040617392,9360.000000000002,False
102,14927806.56034058,75373.29821429739,9360.000000000002,False
103,14921551.777261676,76880.76417858334,9360.000000000002,False
104,14915351.041378338,78418.379462155,9360.000000000002,False
105,14909195.033634476,79986.74705139811,9360.000000000002,False
106,14903094.44859288,81586.48199242607,9360.000000000002,False
107,14897049.994707596,83218.21163227459,9360.000000000002,False
108,14891052.394601747,84882.57586492007,9360.000000000002,False
109,14885112.385350926,86580.22738221848,9360.000000000002,False
110,14879230.71877223,88311.83192986285,9360.000000000002,False
111,14873408.161719104,90078.0685684601,9360.000000000002,False
112,14867635.496382058,91879.6299398293,9360.000000000002,False
113,14861923.520595413,93717.2225386259,9360.000000000002,False
114,14856273.048150178,95591.56698939842,9360.000000000002,False
115,14850684.909113182,97503.39832918638,9360.000000000002,False
116,14845159.950152589,99453.46629577011,9360.000000000002,False
117,14839699.034869926,101442.53562168551,9360.000000000002,False
118,14834238.119587263,101442.53562168551,9360.000000000002,False
119,14828777.2043046,101442.53562168551,9360.000000000002,False
120,14923316.289021937,101442.53562168551,9360.000000000002,False
121,14917855.373739274,101442.53562168551,9360.000000000002,False
122,14912394.458456611,101442.53562168551,9360.000000000002,False
123,14906933.543173948,101442.53562168551,9360.000000000002,False
124,14901472.627891285,101442.53562168551,9360.000000000002,False
125,14896011.712608622,101442.53562168551,9360.000000000002,False
126,14890550.79732596,101442.53562168551,9360.000000000002,False
127,14885089.882043296,101442.53562168551,9360.000000000002,False
128,14879628.966760634,101442.53562168551,9360.000000000002,False
129,14874168.05147797,101442.53562168551,9360.000000000002,False
130,14868707.136195308,101442.53562168551,9360.000000000002,False
131,14863246.220912645,101442.53562168551,9360.000000000002,False
132,14857785.305629982,101442.53562168551,9360.000000000002,False
133,14852324.390347319,101442.53562168551,9360.000000000002,False
134,14846863.475064656,101442.53562168551,9360.000000000002,False
135,14841402.559781993,101442.53562168551,9360.000000000002,False
136,14835941.64449933,101442.53562168551,9360.000000000002,False
137,14830480.729216667,101442.53562168551,9360.000000000002,False
138,14825019.813934004,101442.53562168551,9360.000000000002,False
139,14819558.898651341,101442.53562168551,9360.000000000002,False
140,14814097.983368678,101442.53562168551,9360.000000000002,False
141,14808637.068086015,101442.53562168551,9360.000000000002,False
142,14803176.152803352,101442.53562168551,9360.000000000002,False
143,14797715.23752069,101442.53562168551,9360.000000000002,False
144,14792254.322238026,101442.53562168551,9360.000000000002,False
145,14786793.406955363,101442.53562168551,9360.000000000002,False
146,14781332.4916727,101442.53562168551,9360.000000000002,False
147,14775871.576390037,101442.53562168551,9360.000000000002,False
148,14770410.661107374,101442.53562168551,9360.000000000002,False
149,14764949.745824711,101442.53562168551,9360.000000000002,False
150,14859488.830542048,101442.53562168551,9360.000000000002,False
151,14854027.915259385,101442.53562168551,9360.000000000002,False
152,14848566.999976723,101442.53562168551,9360.000000000002,False
153,14843106.08469406,101442.53562168551,9360.000000000002,False
154,14837645.169411397,101442.53562168551,9360.000000000002,False
155,14832184.254128734,101442.53562168551,9360.000000000002,False
156,14826723.33884607,101442.53562168551,9360.000000000002,False
157,14821262.423563408,101442.53562168551,9360.000000000002,False
158,14815801.508280745,101442.53562168551,9360.000000000002,False
159,14810340.592998082,101442.53562168551,9360.000000000002,False
160,14804879.677715419,101442.53562168551,9360.000000000002,False
161,14799418.762432756,101442.53562168551,9360.000000000002,False
162,14793957.847150093,101442.53562168551,9360.000000000002,False
163,14788496.93186743,101442.53562168551,9360.000000000002,False
164,14783036.016584767,101442.53562168551,9360.000000000002,False
165,14777575.101302104,101442.53562168551,9360.000000000002,False
166,14772114.186019441,101442.53562168551,9360.000000000002,False
167,14766653.270736778,101442.53562168551,9360.000000000002,False
168,14761192.355454115,101442.53562168551,9360.000000000002,False
169,14755731.440171452,101442.53562168551,9360.000000000002,False
170,14750270.52488879,101442.53562168551,9360.000000000002,False
171,14744809.609606126,101442.53562168551,9360.000000000002,False
172,14739348.694323463,101442.53562168551,9360.000000000002,False
173,14733887.7790408,101442.53562168551,9360.000000000002,False
174,14728426.863758137,101442.53562168551,9360.000000000002,False
175,14722965.948475474,101442.53562168551,9360.000000000002,False
176,14717505.033192812,101442.53562168551,9360.000000000002,False
177,14712044.117910149,101442.53562168551,9360.000000000002,False
178,14706583.202627486,101442.53562168551,9360.000000000002,False
179,14701122.287344823,101442.53562168551,9360.000000000002,False
180,14795661.37206216,101442.53562168551,9360.000000000002,False
181,14790200.456779497,101442.53562168551,9360.000000000002,False
182,14784739.541496834,101442.53562168551,9360.000000000002,False
183,14779278.62621417,101442.53562168551,9360.000000000002,False
184,14773817.710931508,101442.53562168551,9360.000000000002,False
185,14768356.795648845,101442.53562168551,9360.000000000002,False
186,14762895.880366182,101442.53562168551,9360.000000000002,False
187,14757434.965083519,101442.53562168551,9360.000000000002,False
188,14751974.049800856,101442.53562168551,9360.000000000002,False
189,14746513.134518193,101442.53562168551,9360.000000000002,False
190,14741052.21923553,101442.53562168551,9360.000000000002,False
191,14735591.303952867,101442.53562168551,9360.000000000002,False
192,14730130.388670204,101442.53562168551,9360.000000000002,False
193,14724669.473387541,101442.53562168551,9360.000000000002,False
194,14719208.558104878,101442.53562168551,9360.000000000002,False
195,14713747.642822215,101442.53562168551,9360.000000000002,False
196,14708286.727539552,101442.53562168551,9360.000000000002,False
197,14702825.81225689,101442.53562168551,9360.000000000002,False
198,14697364.896974226,101442.53562168551,9360.000000000002,False
199,14691903.981691564,101442.53562168551,9360.000000000002,False
200,14686443.0664089,101442.53562168551,9360.000000000002,False
201,14680982.151126238,101442.53562168551,9360.000000000002,False
202,14675521.235843575,101442.53562168551,9360.000000000002,False
203,14670060.320560912,101442.53562168551,9360.000000000002,False
204,14664599.405278249,101442.53562168551,9360.000000000002,False
205,14659138.489995586,101442.53562168551,9360.000000000002,False
206,14653677.574712923,101442.53562168551,9360.000000000002,False
207,14648216.65943026,101442.53562168551,9360.000000000002,False
208,14642755.744147597,101442.53562168551,9360.000000000002,False
209,14637294.828864934,101442.53562168551,9360.000000000002,False
210,14731833.913582271,101442.53562168551,9360.000000000002,False
211,14726372.998299608,101442.53562168551,9360.000000000002,False
212,14720912.083016945,101442.53562168551,9360.000000000002,False
213,14715451.167734282,101442.53562168551,9360.000000000002,False
214,14709990.25245162,101442.53562168551,9360.000000000002,False
215,14704529.337168956,101442.53562168551,9360.000000000002,False
216,14699068.421886293,101442.53562168551,9360.000000000002,False
217,14693607.50660363,101442.53562168551,9360.000000000002,False
218,14688146.591320967,101442.53562168551,9360.000000000002,False
219,14682685.676038304,101442.53562168551,9360.000000000002,False
220,14677224.760755641,101442.53562168551,9360.000000000002,False
221,14671763.845472978,101442.53562168551,9360.000000000002,False
222,14666302.930190315,101442.53562168551,9360.000000000002,False
223,14660842.014907653,101442.53562168551,9360.000000000002,False
224,14655381.09962499,101442.53562168551,9360.000000000002,False
225,14649920.184342327,101442.53562168551,9360.000000000002,False
226,14644459.269059664,101442.53562168551,9360.000000000002,False
227,14638998.353777,101442.53562168551,9360.000000000002,False
228,14633537.438494338,101442.53562168551,9360.000000000002,False
229,14628076.523211675,101442.53562168551,9360.000000000002,False
230,14622615.607929012,101442.53562168551,9360.000000000002,False
231,14617154.692646349,101442.53562168551,9360.000000000002,False
232,14611693.777363686,101442.53562168551,9360.000000000002,False
233,14606232.862081023,101442.53562168551,9360.000000000002,False
234,14600771.94679836,101442.53562168551,9360.000000000002,False
235,14595311.031515697,101442.53562168551,9360.000000000002,False
236,14589850.116233034,101442.53562168551,9360.000000000002,False
237,14584389.200950371,101442.53562168551,9360.000000000002,False
238,14578928.285667708,101442.53562168551,9360.000000000002,False
239,14573467.370385045,101442.53562168551,9360.000000000002,False
240,14668006.455102382,101442.53562168551,9360.000000000002,False
241,14662545.53981972,101442.53562168551,9360.000000000002,False
242,14657084.624537056,101442.53562168551,9360.000000000002,False
243,14651623.709254393,101442.53562168551,9360.000000000002,False
244,14646162.79397173,101442.53562168551,9360.000000000002,False
245,14640701.878689067,101442.53562168551,9360.000000000002,False
246,14635240.963406404,101442.53562168551,9360.000000000002,False
247,14629780.048123742,101442.53562168551,9360.000000000002,False
248,14624319.132841079,101442.53562168551,9360.000000000002,False
249,14618858.217558416,101442.53562168551,9360.000000000002,False
250,14613397.302275753,101442.53562168551,9360.000000000002,False
251,14607936.38699309,101442.53562168551,9360.000000000002,False
252,14602475.471710427,101442.53562168551,9360.000000000002,False
253,14597014.556427764,101442.53562168551,9360.000000000002,False
254,14591553.6411451,101442.53562168551,9360.000000000002,False
255,14586092.725862438,101442.53562168551,9360.000000000002,False
256,14580631.810579775,101442.53562168551,9360.000000000002,False
257,14575170.895297112,101442.53562168551,9360.000000000002,False
258,14569709.980014449,101442.53562168551,9360.000000000002,False
259,14564249.064731786,101442.53562168551,9360.000000000002,False
260,14558788.149449123,101442.53562168551,9360.000000000002,False
261,14553327.23416646,101442.53562168551,9360.000000000002,False
262,14547866.318883797,101442.53562168551,9360.000000000002,False
263,14542405.403601134,101442.53562168551,9360.000000000002,False
264,14536944.488318471,101442.53562168551,9360.000000000002,False
265,14531483.573035808,101442.53562168551,9360.000000000002,False
266,14526022.657753145,101442.53562168551,9360.000000000002,False
267,14520561.742470482,101442.53562168551,9360.000000000002,False
268,14515100.82718782,101442.53562168551,9360.000000000002,False
269,14509639.911905156,101442.53562168551,9360.000000000002,False
270,14604178.996622493,101442.53562168551,9360.000000000002,False
271,14598718.08133983,101442.53562168551,9360.000000000002,False
272,14593257.166057168,101442.53562168551,9360.000000000002,False
273,14587796.250774505,101442.53562168551,9360.000000000002,False
274,14582335.335491842,101442.53562168551,9360.000000000002,False
275,14576874.420209179,101442.53562168551,9360.000000000002,False
276,14571413.504926516,101442.53562168551,9360.000000000002,False
277,14565952.589643853,101442.53562168551,9360.000000000002,False
278,14560491.67436119,101442.53562168551,9360.000000000002,False
279,14555030.759078527,101442.53562168551,9360.000000000002,False
280,14549569.843795864,101442.53562168551,9360.000000000002,False
281,14544108.928513201,101442.53562168551,9360.000000000002,False
282,14538648.013230538,101442.53562168551,9360.000000000002,False
283,14533187.097947875,101442.53562168551,9360.000000000002,False
284,14527726.182665212,101442.53562168551,9360.000000000002,False
285,14522265.26738255,101442.53562168551,9360.000000000002,False
286,14516804.352099886,101442.53562168551,9360.000000000002,False
287,14511343.436817223,101442.53562168551,9360.000000000002,False
288,14505882.52153456,101442.53562168551,9360.000000000002,False
289,14500421.606251897,101442.53562168551,9360.000000000002,False
290,14494960.690969234,101442.53562168551,9360.000000000002,False
291,14489499.775686571,101442.53562168551,9360.000000000002,False
292,14484038.860403908,101442.53562168551,9360.000000000002,False
293,14478577.945121245,101442.53562168551,9360.000000000002,False
294,14473117.029838583,101442.53562168551,9360.000000000002,False
295,14467656.11455592,101442.53562168551,9360.000000000002,False
296,14462195.199273257,101442.53562168551,9360.000000000002,False
297,14456734.283990594,101442.53562168551,9360.000000000002,False
298,14451273.36870793,101442.53562168551,9360.000000000002,False
299,14445812.453425268,101442.53562168551,9360.000000000002,False
300,14540351.538142605,101442.53562168551,9360.000000000002,False
301,14534890.622859942,101442.53562168551,9360.000000000002,False
302,14529429.707577279,101442.53562168551,9360.000000000002,False
303,14523968.792294616,101442.53562168551,9360.000000000002,False
304,14518507.877011953,101442.53562168551,9360.000000000002,False
305,14513046.96172929,101442.53562168551,9360.000000000002,False
306,14507586.046446627,101442.53562168551,9360.000000000002,False
307,14502125.131163964,101442.53562168551,9360.000000000002,False
308,14496664.215881301,101442.53562168551,9360.000000000002,False
309,14491203.300598638,101442.53562168551,9360.000000000002,False
310,14485742.385315975,101442.53562168551,9360.000000000002,False
311,14480281.470033312,101442.53562168551,9360.000000000002,False
312,14474820.55475065,101442.53562168551,9360.000000000002,False
313,14469359.639467986,101442.53562168551,9360.000000000002,False
314,14463898.724185323,101442.53562168551,9360.000000000002,False
315,14458437.80890266,101442.53562168551,9360.000000000002,False
316,14452976.893619997,101442.53562168551,9360.000000000002,False
317,14447515.978337334,101442.53562168551,9360.000000000002,False
318,14442055.063054672,101442.53562168551,9360.000000000002,False
319,14436594.147772009,101442.53562168551,9360.000000000002,False
320,14431133.232489346,101442.53562168551,9360.000000000002,False
321,14425672.317206683,101442.53562168551,9360.000000000002,False
322,14420211.40192402,101442.53562168551,9360.000000000002,False
323,14414750.486641357,101442.53562168551,9360.000000000002,False
324,14409289.571358694,101442.53562168551,9360.000000000002,False
325,14403828.65607603,101442.53562168551,9360.000000000002,False
326,14398367.740793368,101442.53562168551,9360.000000000002,False
327,14392906.825510705,101442.53562168551,9360.000000000002,False
328,14387445.910228042,101442.53562168551,9360.000000000002,False
329,14381984.994945379,101442.53562168551,9360.000000000002,False
330,14476524.079662716,101442.53562168551,9360.000000000002,False
331,14471063.164380053,101442.53562168551,9360.000000000002,False
332,14465602.24909739,101442.53562168551,9360.000000000002,False
333,14460141.333814727,101442.53562168551,9360.000000000002,False
334,14454680.418532064,101442.53562168551,9360.000000000002,False
335,14449219.503249401,101442.53562168551,9360.000000000002,False
336,14443758.587966738,101442.53562168551,9360.000000000002,False
337,14438297.672684075,101442.53562168551,9360.000000000002,False
338,14432836.757401412,101442.53562168551,9360.000000000002,False
339,14427375.84211875,101442.53562168551,9360.000000000002,False
340,14421914.926836086,101442.53562168551,9360.000000000002,False
341,14416454.011553423,101442.53562168551,9360.000000000002,False
342,14410993.09627076,101442.53562168551,9360.000000000002,False
343,14405532.180988098,101442.53562168551,9360.000000000002,False
344,14400071.265705435,101442.53562168551,9360.000000000002,False
345,14394610.350422772,101442.53562168551,9360.000000000002,False
346,14389149.435140109,101442.53562168551,9360.000000000002,False
347,14383688.519857446,101442.53562168551,9360.000000000002,False
348,14378227.604574783,101442.53562168551,9360.000000000002,False
349,14372766.68929212,101442.53562168551,9360.000000000002,False
350,14367305.774009457,101442.53562168551,9360.000000000002,False
351,14361844.858726794,101442.53562168551,9360.000000000002,False
352,14356383.943444131,101442.53562168551,9360.000000000002,False
353,14350923.028161468,101442.53562168551,9360.000000000002,False
354,14345462.112878805,101442.53562168551,9360.000000000002,False
