Day,Remaining Pool (Qube),Daily Ticket Sales,Daily Rewards Paid,Qube Price ($),Penalty Contributions
1,16000000.0,100000,6000.0,1.0003375,600.0
2,15996170.807863405,100000,6120.0,1.0010194800906251,612.0
3,15992341.615726808,100000,6242.4,1.0020534180963183,624.24
4,15988512.423590213,100000,6367.248,1.0034473171885712,636.7248
5,15984683.231453616,100000,6494.592959999999,1.0052097354848404,649.459296
6,15980854.039317021,100000,6624.484819199999,1.0073498177889688,662.44848192
7,15977024.847180424,100000,6756.974515584,1.0098773296425858,675.6974515584001
8,15973195.65504383,100000,6892.11400589568,1.0128026938719332,689.211400589568
9,15969366.462907232,100000,7029.956286013593,1.0161370298309877,702.9956286013594
10,15965537.270770637,100000,7170.555411733865,1.0198921955597642,717.0555411733866
11,15961708.078634042,100000,7313.966519968542,1.0240808330964828,731.3966519968543
12,15957878.886497445,100000,7460.245850367914,1.0287164172040244,746.0245850367914
13,15954049.69436085,100000,7609.450767375271,1.0338133077950185,760.9450767375272
14,15950220.502224253,100000,7761.639782722777,1.039386806366226,776.1639782722777
15,15946391.310087658,100000,7916.8725783772325,1.0454532167818733,791.6872578377233
16,15942562.117951062,100000,8075.2100299447775,1.0520299107775273,807.5210029944778
17,15938732.925814467,100000,8236.714230543674,1.0591353985913443,823.6714230543674
18,15934903.73367787,100000,8401.448515154547,1.066789405168402,840.1448515154548
19,15931074.541541275,100000,8569.477485457637,1.0750129524267835,856.9477485457637
20,15927245.349404678,100000,8740.86703516679,1.0838284481215459,874.086703516679
21,15923416.157268083,100000,8915.684375870125,1.0932597818952308,891.5684375870126
22,15919586.965131488,100000,9093.998063387528,1.1033324291617153,909.3998063387528
23,15915757.77299489,100000,9275.878024655278,1.1140735635346097,927.5878024655278
24,15911928.580858296,100000,9461.395585148384,1.125512178582842,946.1395585148384
25,15908099.388721699,100000,9501.433165585015,1.1376697745264908,950.1433165585015
26,15904270.196585104,100000,9496.302391675597,1.1505664004670926,949.6302391675598
27,15900441.004448507,100000,9491.174388384094,1.164223485307276,949.1174388384094
28,15896611.812311912,100000,9486.049154214365,1.1786638964204683,948.6049154214365
29,15892782.620175315,100000,9480.926687671088,1.1939120027021999,948.0926687671089
30,15888953.42803872,100000,9475.806987259748,1.209993742243754,947.5806987259748
31,15885124.235902125,100000,9470.690051486627,1.2269366948882785,947.0690051486627
32,15881295.043765528,100000,9465.575878858825,1.2447701599501104,946.5575878858825
33,15877465.851628933,100000,9460.46446788424,1.2635252394000747,946.046446788424
34,15873636.659492336,100000,9455.355817071582,1.2832349268430476,945.5355817071583
35,15869807.467355741,100000,9450.249924930366,1.3039342026392038,945.0249924930366
36,15865978.275219144,100000,9445.146789970902,1.325660135547281,944.5146789970903
37,15862149.08308255,100000,9440.046410704319,1.3484519912970054,944.004641070432
38,15858319.890945952,100000,9434.948785642538,1.3723513485287042,943.4948785642539
39,15854490.698809357,100000,9429.853913298291,1.397402222571258,942.9853913298292
40,15850661.50667276,100000,9424.76179218511,1.4236511975650865,942.4761792185111
41,15846832.314536165,100000,9419.672420817331,1.4511475674750454,941.9672420817332
42,15843003.12239957,100000,9414.585797710091,1.4799434865791137,941.4585797710092
43,15839173.930262974,100000,9409.501921379328,1.5100941300628605,940.9501921379328
44,15835344.738126379,100000,9404.420790341783,1.5416578653970856,940.4420790341783
45,15831515.545989782,100000,9399.342403114997,1.5746964352270767,939.9342403114997
46,15827686.353853187,100000,9394.266758217314,1.6092751525568474,939.4266758217315
47,15823857.16171659,100000,9389.193854167877,1.6454631090708909,938.9193854167878
48,15820027.969579995,100000,9384.123689486627,1.683333397499721,938.4123689486628
49,15816198.777443398,100000,9379.056262694305,1.722963349004185,937.9056262694305
50,15812369.585306803,100000,9373.99157231245,1.7644347866275925,937.3991572312451
51,15808540.393170208,100000,9368.929616863403,1.8078342959446223,936.8929616863403
52,15804711.20103361,100000,9363.870394870297,1.8532535141221596,936.3870394870297
53,15800882.008897016,100000,9358.813904857065,1.9007894387002768,935.8813904857066
54,15797052.816760419,100000,9353.760145348442,1.95054475750203,935.3760145348442
55,15793223.624623824,100000,9348.709114869955,2.0026282011892493,934.8709114869955
56,15789394.432487227,100000,9343.660811947924,2.0571549200987276,934.3660811947925
57,15785565.240350632,100000,9338.615235109473,2.1142468871199167,933.8615235109473
58,15781736.048214035,100000,9333.572382882514,2.1740333285121847,933.3572382882514
59,15777906.85607744,100000,9328.532253795758,2.2366511847078168,932.8532253795759
60,15774077.663940843,100000,9323.49484637871,2.3022456033071412,932.349484637871
61,15770248.471804248,100000,9318.460159161663,2.370970466645538,931.8460159161664
62,15766419.279667653,100000,9313.428190675715,2.4429889564997094,931.3428190675716
63,15762590.087531056,100000,9308.398939452749,2.518474158703761,930.839893945275
64,15758760.895394461,100000,9303.372404025444,2.5976097106656404,930.3372404025445
65,15754931.703257864,100000,9298.34858292727,2.6805904950128427,929.8348582927271
66,15751102.51112127,100000,9293.327474692489,2.76762338285457,929.332747469249
67,15747273.318984672,100000,9288.309077856155,2.858928030427485,928.8309077856155
68,15743444.126848077,100000,9283.293390954112,2.954737733195773,928.3293390954112
69,15739614.93471148,100000,9278.280412522998,3.055300341805447,927.8280412522998
70,15735785.742574885,100000,9273.270141100234,3.160879244649994,927.3270141100235
71,15731956.55043829,100000,9268.26257522404,3.271754422192107,926.826257522404
72,15728127.358301694,100000,9263.25771343342,3.3882235786069734,926.3257713433421
73,15724298.166165099,100000,9258.255554268166,3.5106033567694817,925.8255554268167
74,15720468.974028502,100000,9253.25609626886,3.6392306431039296,925.325609626886
75,15716639.781891907,100000,9248.259337976875,3.7744639693539725,924.8259337976875
76,15712810.58975531,100000,9243.265277934368,3.9166850189164344,924.3265277934369
77,15708981.397618715,100000,9238.273914684283,4.066300246019579,923.8273914684283
78,15705152.205482118,100000,9233.285246770352,4.223742616719036,923.3285246770353
79,15701323.013345523,100000,9228.299272737097,4.389473481437949,922.8299272737097
80,15697493.821208928,100000,9223.315991129819,4.563984589597589,922.331599112982
81,15693664.62907233,100000,9218.335400494609,4.74780025777683,921.8335400494609
82,15689835.436935736,100000,9213.357499378342,4.9414797038100255,921.3357499378343
83,15686006.244799139,100000,9208.382286328679,5.145619560290509,920.8382286328679
84,15682177.052662544,100000,9203.40975989406,5.360856582099014,920.3409759894062
85,15678347.860525947,100000,9198.439918623717,5.587870563831616,919.8439918623717
86,15674518.668389352,100000,9193.47276106766,5.827387484370061,919.347276106766
87,15670689.476252755,100000,9188.508285776685,6.080182897329081,918.8508285776685
88,15666860.28411616,100000,9183.546491302364,6.347085587742123,918.3546491302365
89,15663031.091979563,100000,9178.58737619706,6.628981517121699,917.8587376197061
90,15659201.899842968,100000,9173.630939013914,6.9268180809671875,917.3630939013915
91,15655372.707706373,100000,9168.677178306847,7.241608704906858,916.8677178306848
92,15651543.515569776,100000,9163.72609263056,7.574437807969026,916.3726092630561
93,15647714.323433181,100000,9158.77768054054,7.926466163998212,915.877768054054
94,15643885.131296584,100000,9153.831940593049,8.298936694986326,915.383194059305
95,15640055.93915999,100000,9148.888871345129,8.693180733098815,914.888887134513
96,15636226.747023392,100000,9143.9484713546,9.110624791466032,914.3948471354602
97,15632397.554886797,100000,9139.01073918007,9.552797887408007,913.9010739180071
98,15628568.3627502,100000,9134.075673380914,10.021339465696412,913.4075673380914
99,15624739.170613606,100000,9129.143272517289,10.518007973763515,912.914327251729
100,15620909.978477009,100000,9124.21353515013,11.0446901454809,912.4213535150129
101,15617080.786340414,100000,9119.286459841149,11.603411055290481,911.928645984115
102,15613251.594203819,100000,9114.362045152835,12.196345010121028,911.4362045152835
103,15609422.402067222,100000,9109.440289648453,12.825827352713551,910.9440289648454
